Basic,Stage1,Stage2
Bulbasaur,Ivysaur,Venusaur
Charmander,Charmeleon,Charizard
Squirtle,Wartortle,Blastoise
Caterpie,Metapod,Butterfree
Weedle,Kakuna,Beedrill
Pidgey,Pidgeotto,Pidgeot
Rattata,Raticate,
Spearow,Fearow,
Ekans,Arbok,
Pichu,Pikachu,Raichu
Sandshrew,Sandslash,
Nidoran♀,Nidorina,Nidoqueen
Nidoran♂,Nidorino,Nidoking
Cleffa,Clefairy,Clefable
Vulpix,Ninetales,
Igglybuff,Jigglypuff,Wigglytuff
Zubat,Golbat,Crobat
Oddish,Gloom,Vileplume
Oddish,Gloom,Bellossom
Paras,Parasect,
Venonat,Venomoth,
Diglett,Dugtrio,
Meowth,Persian,
Psyduck,Golduck,
Mankey,Primeape,
Growlithe,Arcanine,
Poliwag,Poliwhirl,Poliwrath
Poliwag,Poliwhirl,Politoed
Abra,Kadabra,Alakazam
Machop,Machoke,Machamp
Bellsprout,Weepinbell,Victreebel
Tentacool,Tentacruel,
Geodude,Graveler,Golem
Ponyta,Rapidash,
Slowpoke,Slowbro,
Slowpoke,Slowking,
Magnemite,Magneton,Magnezone
Doduo,Dodrio,
Seel,Dewgong,
Grimer,Muk,
Shellder,Cloyster,
Gastly,Haunter,Gengar
Onix,Steelix,
Drowzee,Hypno,
Krabby,Kingler,
Voltorb,Electrode,
Exeggcute,Exeggutor,
Cubone,Marowak,
Tyrogue,Hitmonlee,
Tyrogue,Hitmonchan,
Tyrogue,Hitmontop,
Lickitung,Lickilicky,
Koffing,Weezing,
Rhyhorn,Rhydon,Rhyperior
Happiny,Chansey,Blissey
Tangela,Tangrowth,
Horsea,Seadra,Kingdra
Goldeen,Seaking,
Staryu,Starmie,
Mime Jr.,Mr. Mime,
Scyther,Scizor,
Smoochum,Jynx,
Elekid,Electabuzz,Electivire
Magby,Magmar,Magmortar
Magikarp,Gyarados,
Eevee,Vaporeon,
Eevee,Jolteon,
Eevee,Flareon,
Eevee,Espeon,
Eevee,Umbreon,
Eevee,Leafeon,
Eevee,Glaceon,
Eevee,Sylveon,
Porygon,Porygon2,Porygon-Z
Omanyte,Omastar,
Kabuto,Kabutops,
Munchlax,Snorlax,
Dratini,Dragonair,Dragonite
Chikorita,Bayleef,Meganium
Cyndaquil,Quilava,Typhlosion
Totodile,Croconaw,Feraligatr
Sentret,Furret,
Hoothoot,Noctowl,
Ledyba,Ledian,
Spinarak,Ariados,
Chinchou,Lanturn,
Togepi,Togetic,Togekiss
Natu,Xatu,
Mareep,Flaaffy,Ampharos
Azurill,Marill,Azumarill
Bonsly,Sudowoodo,
Hoppip,Skiploom,Jumpluff
Aipom,Ambipom,
Sunkern,Sunflora,
Yanma,Yanmega,
Wooper,Quagsire,
